BG,0.0
GAMMA,0.0
COLUMN,0.0
MU,-10.0
VARIANCE,ROW,DISTANCE
1.4999999999999998,0,0.007022642623231672
1.6,0,0.0075345601208980754
1.7,0,0.008164709420333512
1.8,0,0.008940002356295036
1.9000000000000004,0,0.009891811937503651
2.0000000000000004,0,0.01109105395709273
2.1,0,0.012599280788567944
2.2000000000000006,0,0.014442793946666768
2.300000000000001,0,0.016706184373499026
2.400000000000001,0,0.0194235924029206
2.500000000000001,0,0.022635239398777967
2.600000000000001,0,0.026159086115224016
2.700000000000001,0,0.030240459164610267
2.8000000000000007,0,0.035012317666816735
2.9000000000000012,0,0.04057920005808658
3.0000000000000013,0,0.04714888940997091
3.1000000000000014,0,0.05569160369901188
3.2000000000000015,0,0.06588749404419407
3.3000000000000016,0,0.07631365534958902
3.4000000000000017,0,0.08646101570068565
3.5000000000000018,0,0.09228988951527742
3.6000000000000014,0,0.0983812832642569
3.700000000000002,0,0.10533786157984118
3.800000000000002,0,0.11215440008513065
3.9000000000000026,0,0.12202373387471953
4.000000000000002,0,0.13126119126524474
4.100000000000002,0,0.13880646124608334
4.200000000000003,0,0.14517709768082507
4.300000000000003,0,0.1513701169639069
4.400000000000002,0,0.16617761518211144
4.500000000000003,0,0.17390012855477344
4.600000000000004,0,0.18107073691409778
4.700000000000002,0,0.1892201402925313
4.800000000000003,0,0.19838904303047236
4.900000000000004,0,0.2082835087488515
5.000000000000004,0,0.2200396640583947
5.100000000000003,0,0.18755360287077136
5.200000000000003,0,0.19700202490537325
5.300000000000003,0,0.2078870385915334
5.400000000000005,0,0.22074450230854864
5.500000000000004,0,0.22791396404414543
5.600000000000004,0,0.2347933326460494
5.700000000000005,0,0.24671021836382662
5.800000000000005,0,0.2557683150984984
5.900000000000004,0,0.2630274612790321
6.0000000000000036,0,0.26416778381571515
6.100000000000004,0,0.26898286012131706
6.200000000000004,0,0.27807148313077584
6.300000000000004,0,0.2866068377853841
6.400000000000005,0,0.29545570086649686
1.4999999999999998,1,0.0038269007116926036
1.6,1,0.003829835870510559
1.7,1,0.0038585138513097927
1.8,1,0.003921335802545921
1.9000000000000004,1,0.0040177848086076036
2.0000000000000004,1,0.004142842633658669
2.1,1,0.0042970244353283575
2.2000000000000006,1,0.004512542246888019
2.300000000000001,1,0.004839745091977244
2.400000000000001,1,0.005344243268228143
2.500000000000001,1,0.006166339517347439
2.600000000000001,1,0.006822744082172292
2.700000000000001,1,0.006923260944784621
2.8000000000000007,1,0.007718027401381226
2.9000000000000012,1,0.008980964409781219
3.0000000000000013,1,0.010539205484416258
3.1000000000000014,1,0.012499214553085291
3.2000000000000015,1,0.014700567083813938
3.3000000000000016,1,0.016763555711938972
3.4000000000000017,1,0.01883394990876329
