BG,0.0
ROW,1.0
COLUMN,2.0
MU,-10.0
VARIANCE,GAMMA,DISTANCE
1.0,-1,0.020656336878235447
1.1,-1,0.02019112233439349
1.2000000000000004,-1,0.01981300093721986
1.3000000000000003,-1,0.019518185787791173
1.4000000000000004,-1,0.019306162904103086
1.5000000000000002,-1,0.01917863596934175
1.6000000000000005,-1,0.0191384297680012
1.7000000000000006,-1,0.01919101154852345
1.8000000000000007,-1,0.019345197385525547
1.900000000000001,-1,0.019613294401911282
2.000000000000001,-1,0.02001306026778433
2.100000000000001,-1,0.02056920873989751
2.2000000000000006,-1,0.02130724447492966
2.300000000000001,-1,0.022246855570017387
2.4000000000000017,-1,0.02340888004687172
2.500000000000001,-1,0.024830525155125797
2.600000000000001,-1,0.02657132071240293
2.700000000000002,-1,0.028697215824702305
2.8000000000000016,-1,0.031167928101464053
2.9000000000000017,-1,0.03388940161752686
3.0000000000000018,-1,0.035641569470541916
3.1000000000000014,-1,0.03869968219451224
3.2000000000000024,-1,0.04217795642586664
3.300000000000002,-1,0.04613887994207136
3.4000000000000017,-1,0.051221733529599876
3.500000000000002,-1,0.05660272556377045
3.6000000000000023,-1,0.062098274819398704
3.700000000000002,-1,0.06769444186263218
3.800000000000002,-1,0.0732349808577738
3.9000000000000026,-1,0.07874753270667498
4.000000000000002,-1,0.08492299808676015
4.100000000000002,-1,0.09184798133792749
4.200000000000003,-1,0.09924207322073725
4.300000000000003,-1,0.10645759190640526
4.400000000000002,-1,0.11386330953041854
4.500000000000003,-1,0.12149467682185915
4.600000000000004,-1,0.12916873012889435
4.700000000000002,-1,0.13796678453418626
4.800000000000003,-1,0.14820750878079422
4.900000000000004,-1,0.16034083636061086
1.0,0,0.01909366333962415
1.1,0,0.01858586315695758
1.2000000000000004,0,0.018169768978763295
1.3000000000000003,0,0.017840085148435374
1.4000000000000004,0,0.017594573103753737
1.5000000000000002,0,0.017434194451058326
1.6000000000000005,0,0.01736441812560763
1.7000000000000006,0,0.017395576171393787
1.8000000000000007,0,0.017539534082150532
1.900000000000001,0,0.017802912605363312
2.000000000000001,0,0.018188939566669192
2.100000000000001,0,0.01870954919426348
2.2000000000000006,0,0.019388026305418568
2.300000000000001,0,0.02025220890979748
2.4000000000000017,0,0.02133072347875473
2.500000000000001,0,0.02266434237154583
2.600000000000001,0,0.024301632765766988
2.700000000000002,0,0.026284296465015955
2.8000000000000016,0,0.028633512781371787
2.9000000000000017,0,0.03138139686532605
3.0000000000000018,0,0.03154999714396272
3.1000000000000014,0,0.034483112322689864
3.2000000000000024,0,0.037848033955812974
3.300000000000002,0,0.04168636859772707
3.4000000000000017,0,0.04610609775170064
3.500000000000002,0,0.051293595253080325
3.6000000000000023,0,0.05840187302887576
3.700000000000002,0,0.0655316725869028
3.800000000000002,0,0.07368915561827886
3.9000000000000026,0,0.08059842200026637
4.000000000000002,0,0.0877640902923854
4.100000000000002,0,0.09529677076249228
4.200000000000003,0,0.10380119629406935
4.300000000000003,0,0.11299378671241408
4.400000000000002,0,0.12228629374097946
4.500000000000003,0,0.13278626349313727
4.600000000000004,0,0.1442826472384615
4.700000000000002,0,0.15487854550001204
4.800000000000003,0,0.1662577854058597
4.900000000000004,0,0.17931884889813923
1.0,1,0.017422181006377883
1.1,1,0.01685754787043695
1.2000000000000004,1,0.016387259437205363
1.3000000000000003,1,0.016003166177800617
1.4000000000000004,1,0.01569941322278614
1.5000000000000002,1,0.015472302383363083
1.6000000000000005,1,0.015320467541464869
1.7000000000000006,1,0.015245402234565573
1.8000000000000007,1,0.015252837042973472
1.900000000000001,1,0.015356352338231953
2.000000000000001,1,0.015572293896243258
2.100000000000001,1,0.01591603207673747
2.2000000000000006,1,0.016399127740836364
2.300000000000001,1,0.017020366224687663
2.4000000000000017,1,0.01776422928335905
2.500000000000001,1,0.018642984686120842
2.600000000000001,1,0.019750983917756326
2.700000000000002,1,0.021199780961929347
2.8000000000000016,1,0.022064859265598983
2.9000000000000017,1,0.025189468004222948
3.0000000000000018,1,0.025984081072808873
3.1000000000000014,1,0.02857624599044408
3.2000000000000024,1,0.031627615048501014
3.300000000000002,1,0.03524540234962183
3.4000000000000017,1,0.03952950649906051
3.500000000000002,1,0.04379427709134059
3.6000000000000023,1,0.05221102086166907
3.700000000000002,1,0.05378951879379153
3.800000000000002,1,0.05914592311813556
3.9000000000000026,1,0.0646120745257664
4.000000000000002,1,0.07093035785423159
4.100000000000002,1,0.0781839656390841
4.200000000000003,1,0.0858125621600858
4.300000000000003,1,0.09428739082376936
4.400000000000002,1,0.10342678244622007
4.500000000000003,1,0.11250294513973022
4.600000000000004,1,0.12233635135355504
4.700000000000002,1,0.1386853424016691
4.800000000000003,1,0.15231279106153628
4.900000000000004,1,0.17837481781436604
