Row,Fraction
0.0,0.82638
0.25,0.79694
0.5,0.77192
0.75,0.7478
1.0,0.72718
1.25,0.7112
1.5,0.69544
1.75,0.67932
2.0,0.66966
2.25,0.65668
2.5,0.64444
2.75,0.63412
3.0,0.62678
3.25,0.61606
3.5,0.60666
3.75,0.59466
4.0,0.59322
4.25,0.58264
4.5,0.57778
4.75,0.57214
5.0,0.56124
5.25,0.55792
5.5,0.55246
5.75,0.55046
6.0,0.53884
6.25,0.53688
