BG,0.0
GAMMA,0.0
COLUMN,0.0
MU,-6.0
VARIANCE,ROW,DISTANCE
1.6,0,0.01374668584071145
1.8,0,0.0145777149566431
2.0000000000000004,0,0.017288347207350372
2.2,0,0.024740634941076204
2.4000000000000004,0,0.03610600693474701
2.5999999999999996,0,0.0496088063775897
2.8000000000000003,0,0.06589353445427465
2.9999999999999996,0,0.07984036619332048
3.1999999999999997,0,0.10273397191229572
3.3999999999999995,0,0.14251580676335665
3.5999999999999996,0,0.17057903314148332
3.7999999999999994,0,0.18306223606300046
3.999999999999999,0,0.2781163826989581
4.199999999999999,0,0.2348741409042085
4.399999999999999,0,0.2536307747007768
1.6,1,0.008447505953857232
1.8,1,0.008220350519023716
2.0000000000000004,1,0.00831848864215414
2.2,1,0.009264178842446505
2.4000000000000004,1,0.013110957593134359
2.5999999999999996,1,0.010363220829429198
2.8000000000000003,1,0.011387410718815374
2.9999999999999996,1,0.015240078442886228
3.1999999999999997,1,0.0250614579725353
3.3999999999999995,1,0.041376714541345005
3.5999999999999996,1,0.06339941501644718
3.7999999999999994,1,0.0698888524704722
3.999999999999999,1,0.08688209879361616
4.199999999999999,1,0.1064520763809452
4.399999999999999,1,0.11057566898472948
1.6,5,0.004338673822729066
1.8,5,0.003935865994563445
2.0000000000000004,5,0.0035923408016898632
2.2,5,0.0032893875572574415
2.4000000000000004,5,0.003004772937763774
2.5999999999999996,5,0.002885046835298762
2.8000000000000003,5,0.002503522608787845
2.9999999999999996,5,0.0022690291487932027
3.1999999999999997,5,0.0020279970812860032
3.3999999999999995,5,0.0019439347768268078
3.5999999999999996,5,0.0017782710736720928
3.7999999999999994,5,0.0014796337434018832
3.999999999999999,5,0.0013891830855878129
4.199999999999999,5,0.0014563146333280888
4.399999999999999,5,0.00176639630760511
