BG,0.0
GAMMA,0.0
COLUMN,0.0
MU,-10.0
VARIANCE,ROW,DISTANCE
1.4999999999999998,0,2.4509960650231908e-05
1.7,0,2.6351219252025622e-05
1.9,0,2.9615571888732378e-05
2.0999999999999996,0,3.501374282217658e-05
2.3,0,4.344574709316854e-05
2.5000000000000004,0,5.728981238527948e-05
2.6999999999999997,0,7.875919666508338e-05
2.8999999999999995,0,0.00011193190242158193
3.099999999999999,0,0.000163484216034849
3.3,0,0.0002387751311250909
3.5,0,0.0003522263325207916
3.6999999999999993,0,0.0006227274110193198
3.9,0,0.0011206947083500236
4.099999999999999,0,0.0017671052407963901
4.299999999999999,0,0.0027663841703047232
1.4999999999999998,1,1.591082736901491e-05
1.7,1,1.5820361123175133e-05
1.9,1,1.6122840882373137e-05
2.0999999999999996,1,1.695169383315526e-05
2.3,1,1.8608942250469454e-05
2.5000000000000004,1,2.1606656524374066e-05
2.6999999999999997,1,2.5721411095839353e-05
2.8999999999999995,1,3.3101584696470826e-05
3.099999999999999,1,4.606377078061099e-05
3.3,1,7.079967957557692e-05
3.5,1,0.00011697673561267268
3.6999999999999993,1,0.00020244959109679128
3.9,1,0.00031469299162013734
4.099999999999999,1,0.0005268339319355792
4.299999999999999,1,0.0007179720877734072
1.4999999999999998,5,8.152290848321578e-06
1.7,5,7.561204470083801e-06
1.9,5,7.0695208684772765e-06
2.0999999999999996,5,6.661862314770814e-06
2.3,5,6.331310672078442e-06
2.5000000000000004,5,6.0800485992842634e-06
2.6999999999999997,5,5.931383825060027e-06
2.8999999999999995,5,5.93513520306419e-06
3.099999999999999,5,6.163405819400388e-06
3.3,5,7.53550539960962e-06
3.5,5,8.474549361394327e-06
3.6999999999999993,5,9.129573340843277e-06
3.9,5,1.0335796369220831e-05
4.099999999999999,5,1.2440649860703713e-05
4.299999999999999,5,1.6584004690137926e-05
